Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3
Couverture vaccinale schéma complet à 16 ans, chez les jeunes garçons,  par région et par année de naissance (%);;;
Données régionales 2023;;;
;;;
;;;
;"Année de
naissance";2006.0;2007.0
;Région;;
;Auvergne - Rhône-Alpes;8.21473342673844;15.7598092347713
;Bourgogne - Franche - Comté;7.9;15.224816619071616
;Bretagne;11.471200247930225;21.97991012424002
;Centre;9.115908957931076;16.975434113479295
;Corse;3.9141414141414144;7.861425716189208
;Grand-Est;9.304712220986914;17.135043116680155
;"Hauts-de-
France";8.5;16.4
;Ile de France;7.720449840015058;13.468832166042302
;Normandie;11.17524086529722;20.871038202647885
;Nouvelle Aquitaine;9.1;17.07615076097639
;Occitanie;8.332025733563471;15.238291090432368
;Paca;5.9;11.273419203747073
;Pays de la Loire;12.6;23.239358352165375
;Guadeloupe;1.2658227848101267;2.8551771585827312
;Martinique;1.2468827930174564;1.6631130063965887
;Guyane;1.7280240420736288;3.5567203294646204
;La Réunion;1.2;3.1
;;;
;;;
;Source : SNDS-DCIR, Santé publique France;;
